CITY,VIOLATIONS,neighborhood
ALMAHNBRA,5,Alhambra
ALTADENA,1,Altadena
ARCADIA,7,Arcadia
ARTESIA,2,Artesia
AZUSA,4,Azusa
BALDWIN PARK,5,Baldwin Park
BELL,4,Bell
BELL GARDENS,2,Bell Gardens
BELLFLOWER,2,Bellflower
BEVERLY HILLS,5,Beverly Hills
BURBANK,2,Burbank
CANOGA PARK,7,Canoga Park
CANYON COUNTRY,1,
CARSON,6,Carson
CERRITOS,1,Cerritos
CHATSWORTH,3,Chatsworth
COMMERCE,1,Commerce
COMPTON,14,Compton
COVINA,8,Covina
CUDAHY,3,Cudahy
CULVER CITY,5,Culver City
DIAMOND BAR,2,Diamond Bar
DOWNEY,3,Downey
EL MONTE,12,El Monte
EL SEGUNDO,1,El Segundo
GARDENA,7,Gardena
GLENDALE,38,Glendale
GLENDORA,1,Glendora
GRANADA HILLS,3,Granada Hills
HAWTHORNE,3,Hawthorne
HERMOSA BEACH,3,Hermosa Beach
HOLLYWOOD,1,
HUNTINGTON PARK,12,Huntington Park
INGLEWOOD,16,Inglewood
LA CANADA FLINTRIDGE,3,La Canada Flintridge
LA CRESCENTA,2,La Crescenta-Montrose
LA PUENTE,8,La Puente
LA VERNE,1,La Verne
LAKE VIEW TERRACE,1,Lake View Terrace
LAKEWOOD,2,Lakewood
LANCASTER,6,Lancaster
LAWNDALE,1,Lawndale
LENNOX,2,Lennox
LOS ANGELES,350,
LYNWOOD,7,Lynwood
MALIBU,1,Malibu
MANHATTAN BEACH,5,Manhattan Beach
MARINA DEL REY,1,Marina del Rey
MAYWOOD,4,Maywood
MONROVIA,2,Monrovia
MONTEBELLO,9,Montebello
MONTEREY PARK,14,Monterey Park
NEWHALL,2,
NORTH HILLS,9,North Hills
NORTH HOLLYWOOD,18,
NORTHRIDGE,2,
NORWALK,3,Norwalk
PACIFIC PALISADES,1,Pacific Palisades
PACOIMA,9,Pacoima
PALMDALE,2,Palmdale
PANORAMA CITY,2,Panorama City
PARAMOUNT,8,Paramount
PICO RIVERA,1,Pico Rivera
POMONA,3,Pomona
RANCHO PALOS VERDES,2,Rancho Palos Verdes
REDONDO BEACH,4,Redondo Beach
RESEDA,1,Reseda
ROSEMEAD,8,Rosemead
ROWLAND HEIGHTS,6,Rowland Heights
SAN FERNANDO,7,San Fernando
SAN GABRIEL,12,San Gabriel
SAN PEDRO,6,San Pedro
SANTA CLARITA,1,Santa Clarita
SANTA FE SPRINGS,1,Santa Fe Springs
SANTA MONICA,12,Santa Monica
SHERMAN OAKS,5,Sherman Oaks
SIERRA MADRE,2,Sierra Madre
SIGNAL HILL,1,Signal Hill
SOUTH EL MONTE,11,South El Monte
SOUTH GATE,6,South Gate
SOUTH PASADENA,1,South Pasadena
STUDIO CITY,9,Studio City
SYLMAR,10,Sylmar
TEMPLE CITY,2,Temple City
TOLUCA LAKE,1,
TORRANCE,10,Torrance
VAN NUYS,16,
VENICE,3,
VERNON,1,Vernon
WALNUT,5,Walnut
WEST COVINA,12,West Covina
WEST HOLLYWOOD,2,West Hollywood
WHITTIER,5,Whittier
WILMINGTON,10,Wilmington
WINNETKA,2,Winnetka
