year,indian,bangladeshi,pakistani,srilankan,total
1980,23000,,,,23000
1990,40365,1118,4797,1417,47697
2000,64699,2806,3026,2947,73478
2005,83065,2081,5400,4991,95537
2006,73984,4193,6476,5357,90010
2007,78719,2649,5413,4341,91122
2008,66129,3495,4784,4595,79003
2009,69974,3399,6927,7694,87994
2010,79868,2091,6197,3934,92090
2011,85534,5074,9501,5646,105755
2012,86693,7148,5035,7646,106522
2013,76731,3930,7897,4468,93026
2014,81388,7073,7919,2911,99291
2015,94829,3735,13581,7824,119969
2016,112804,3086,14011,6316,136217
2017,92393,6807,13308,4037,116545
