puma,indian,bangladeshi,pakistani,srilankan,total
3701,1142,0,54,85,1281
3702,1750,115,0,85,1950
3703,149,0,0,0,149
3704,1456,0,129,229,1814
3705,2992,0,0,135,3127
3706,874,0,226,0,1100
3707,148,0,0,0,148
3708,357,0,285,0,642
3709,651,0,717,0,1368
3710,272,1150,332,0,1754
3711,2691,0,437,228,3356
3712,1550,0,27,0,1577
3713,1294,0,397,0,1691
3714,2973,671,0,0,3644
3715,0,322,0,83,405
3717,4433,0,261,0,4694
3718,4093,0,141,138,4372
3719,1418,0,0,0,1418
3720,2439,0,0,442,2881
3722,784,0,0,0,784
3723,1179,311,0,0,1490
3724,935,0,0,1131,2066
3725,6231,1365,1345,0,8941
3726,1584,0,271,0,1855
3727,1777,0,88,0,1865
3728,306,0,155,0,461
3729,6271,0,869,0,7140
3730,2377,0,308,93,2778
3731,371,113,0,0,484
3732,236,0,629,0,865
3733,1411,1269,0,0,2680
3734,540,0,0,0,540
3735,177,0,59,0,236
3736,1335,0,75,0,1410
3737,344,0,0,0,344
3738,51,0,0,0,51
3739,773,0,0,0,773
3740,100,481,0,0,581
3743,41,0,0,0,41
3744,1046,0,0,0,1046
3746,1805,0,11,0,1816
3747,183,0,38,0,221
3748,4703,0,199,265,5167
3749,135,0,693,0,828
3751,0,520,0,0,520
3752,0,0,87,0,87
3753,549,336,0,0,885
3754,764,0,82,263,1109
3755,1399,0,0,0,1399
3756,1157,0,0,0,1157
3758,720,0,710,0,1430
3759,353,0,304,0,657
3760,2403,0,559,0,2962
3761,8737,0,2424,0,11161
3762,229,0,0,0,229
3763,562,0,0,96,658
3764,5750,0,414,92,6256
3765,625,154,0,271,1050
3766,414,0,0,0,414
3767,402,0,69,0,471
3768,1912,0,913,0,2825
3769,1040,0,0,401,1441
