LANGUAGE,language,year,popcount,pop.pct,rankinyear
1: English,English,1980,4860300,0.6484377084611895,1
1: English,English,1990,4420468,0.5018277879854486,1
1: English,English,2018,4108477,0.4066250211429369,1
1: English,English,2000,4068318,0.42813196462483605,1
1: English,English,2010,3930328,0.3999000028183984,1
12: Spanish,Spanish,2018,3741860,0.3703401288637882,2
12: Spanish,Spanish,2010,3659345,0.3723282321000924,2
12: Spanish,Spanish,2000,3284168,0.3456114536764379,2
12: Spanish,Spanish,1990,2535832,0.2878769766600993,2
12: Spanish,Spanish,1980,1591300,0.2123035461749873,2
43: Chinese,Chinese,2018,401703,0.03975743100622961,3
43: Chinese,Chinese,2010,333886,0.03397197698029879,3
43: Chinese,Chinese,2000,256006,0.026940949978773977,3
"54: Filipino, Tagalog",Filipino,2018,236587,0.023415536676277857,4
"54: Filipino, Tagalog",Filipino,2010,222248,0.02261311926800598,4
"54: Filipino, Tagalog",Filipino,2000,204409,0.021511107724862737,4
43: Chinese,Chinese,1990,194545,0.0220854640308739,3
49: Korean,Korean,2010,191070,0.01944084400551592,5
49: Korean,Korean,2018,181622,0.017975529518608112,5
28: Armenian,Armenian,2018,169458,0.01677163163693987,6
49: Korean,Korean,2000,167014,0.017575821737595827,5
28: Armenian,Armenian,2010,165571,0.016846391285064512,6
"54: Filipino, Tagalog",Filipino,1990,155155,0.01761376633534781,4
28: Armenian,Armenian,2000,129361,0.013613384960525067,6
49: Korean,Korean,1990,125840,0.014285819700558594,5
28: Armenian,Armenian,1990,97006,0.011012477955120684,6
43: Chinese,Chinese,1980,88600,0.011820583291085198,3
50: Vietnamese,Vietnamese,2010,86663,0.008817720542471484,7
31: Hindi and related,Hindi,2018,79249,0.007843448144058397,7
"54: Filipino, Tagalog",Filipino,1980,75000,0.010006137097419751,4
"29: Persian, Iranian, Farsi",Persian,2000,72628,0.007643052565402359,7
"29: Persian, Iranian, Farsi",Persian,2018,72613,0.007186668602562964,8
50: Vietnamese,Vietnamese,2018,69346,0.006863326414186597,9
50: Vietnamese,Vietnamese,2000,68984,0.007259573968327867,8
"29: Persian, Iranian, Farsi",Persian,2010,66967,0.006813707021078059,8
31: Hindi and related,Hindi,2010,65257,0.006639719250892094,9
48: Japanese,Japanese,1990,63141,0.007167998583224492,7
48: Japanese,Japanese,2000,59553,0.006267096841815921,9
48: Japanese,Japanese,1980,59200,0.007898177548896657,5
31: Hindi and related,Hindi,2000,53934,0.005675777896436785,10
49: Korean,Korean,1980,53600,0.007151052645622649,6
50: Vietnamese,Vietnamese,1990,53482,0.0060714733727374025,8
48: Japanese,Japanese,2010,52735,0.0053656403864075055,10
48: Japanese,Japanese,2018,49664,0.004915355507659608,10
2: German,German,1980,47900,0.006390586226218748,7
"29: Persian, Iranian, Farsi",Persian,1990,43537,0.004942480390203587,9
10: Italian,Italian,1980,41700,0.005563412226165382,8
28: Armenian,Armenian,1980,39500,0.0052698988713077355,9
11: French,French,1990,37934,0.0043064072196518565,10
11: French,French,1980,37600,0.005016410064839769,10
