district_code,color_13,color_15,color_17,color_19
c001a001s001,red,red,red,red
c001a001s004,red,red,red,red
c001a003s004,red,red,red,red
c001a005s001,red,red,red,red
c001a006s001,red,red,red,red
c001a006s004,red,red,red,red
c002a002s002,blue,blue,blue,blue
c002a010s002,blue,blue,blue,blue
c002a010s003,blue,blue,blue,blue
c003a003s004,purple,purple,purple,purple
c003a004s002,blue,blue,blue,blue
c003a004s003,blue,blue,blue,blue
c003a004s004,purple,purple,purple,purple
c003a007s003,blue,blue,blue,blue
c003a007s004,purple,purple,purple,purple
c003a007s006,blue,blue,blue,blue
c003a009s003,blue,blue,blue,blue
c003a009s005,blue,blue,blue,blue
c003a011s003,blue,blue,blue,blue
c003a014s003,blue,blue,blue,blue
c004a001s001,red,red,red,red
c004a005s001,red,red,red,red
c004a005s008,purple,red,red,red
c004a006s001,red,red,red,red
c004a006s004,red,red,red,red
c004a023s008,purple,red,red,red
c005a002s002,blue,blue,blue,blue
c005a004s002,blue,blue,blue,blue
c005a004s003,blue,blue,blue,blue
c005a010s002,blue,blue,blue,blue
c005a010s003,blue,blue,blue,blue
c005a014s003,blue,blue,blue,blue
c005a014s007,blue,blue,blue,blue
c005a014s009,blue,blue,blue,blue
c005a015s003,blue,blue,blue,blue
c005a015s009,blue,blue,blue,blue
c006a007s004,purple,purple,purple,purple
c006a007s006,blue,blue,blue,blue
c006a008s004,purple,purple,purple,purple
c006a008s006,blue,blue,blue,blue
c006a009s003,blue,blue,blue,blue
c006a009s006,blue,blue,blue,blue
c007a006s001,purple,purple,purple,purple
c007a008s001,purple,purple,purple,purple
c007a008s004,purple,purple,purple,purple
c007a008s006,blue,blue,blue,blue
c007a008s008,blue,purple,purple,purple
c007a009s005,blue,blue,blue,blue
c007a009s006,blue,blue,blue,blue
c007a009s008,blue,purple,purple,purple
c008a005s008,purple,red,red,red
c008a026s008,purple,red,red,red
c008a033s016,purple,red,red,red
c008a033s021,red,red,red,red
c008a033s023,red,red,red,red
c008a036s023,purple,red,red,red
c008a040s023,red,red,red,purple
c008a041s025,purple,purple,purple,purple
c008a042s016,purple,red,red,red
c008a042s023,red,red,red,red
c008a047s020,purple,purple,purple,purple
c009a009s003,blue,blue,blue,blue
c009a009s005,blue,blue,blue,blue
c009a011s007,blue,blue,blue,blue
c009a012s005,purple,purple,purple,purple
c009a013s005,blue,blue,blue,blue
c009a014s007,blue,blue,blue,blue
c010a012s005,purple,purple,purple,purple
c010a012s008,purple,red,red,purple
c010a013s005,purple,purple,purple,blue
c010a021s005,purple,purple,purple,blue
c010a021s008,purple,purple,purple,purple
c010a021s012,purple,purple,purple,blue
c011a011s007,blue,blue,blue,blue
c011a014s003,blue,blue,blue,blue
c011a014s007,blue,blue,blue,blue
c011a014s009,blue,blue,blue,blue
c011a015s009,blue,blue,blue,blue
c011a016s007,blue,purple,purple,blue
c011a016s009,blue,purple,purple,blue
c012a017s011,blue,blue,blue,blue
c012a019s011,blue,blue,blue,blue
c013a015s009,blue,blue,blue,blue
c013a017s011,blue,blue,blue,blue
c013a018s009,blue,blue,blue,blue
c013a018s010,blue,blue,blue,blue
c013a020s009,blue,blue,blue,blue
c013a020s010,blue,blue,blue,blue
c014a017s011,blue,blue,blue,blue
c014a019s011,blue,blue,blue,blue
c014a019s013,blue,blue,blue,blue
c014a022s011,blue,blue,blue,blue
c014a022s013,blue,blue,blue,blue
c014a024s013,blue,blue,blue,blue
c015a016s007,blue,purple,purple,blue
c015a018s009,blue,blue,blue,blue
c015a020s007,blue,blue,blue,blue
c015a020s009,blue,blue,blue,blue
c015a020s010,blue,blue,blue,blue
c015a025s010,blue,blue,blue,blue
c016a005s012,purple,purple,purple,purple
c016a021s012,purple,purple,purple,blue
c016a023s008,purple,purple,purple,purple
c016a023s014,purple,purple,purple,purple
c016a031s008,blue,purple,purple,purple
c016a031s012,purple,purple,purple,blue
c016a031s014,purple,purple,purple,blue
c017a020s007,blue,blue,blue,blue
c017a020s010,blue,blue,blue,blue
c017a024s013,blue,blue,blue,blue
c017a024s015,blue,blue,blue,blue
c017a025s010,blue,blue,blue,blue
c017a025s015,blue,blue,blue,blue
c017a028s015,blue,blue,blue,blue
c018a022s013,blue,blue,blue,blue
c018a024s013,blue,blue,blue,blue
c018a024s015,blue,blue,blue,blue
c018a028s010,blue,blue,blue,blue
c018a028s013,blue,blue,blue,blue
c018a028s015,blue,blue,blue,blue
c018a029s015,blue,blue,blue,blue
c018a029s017,blue,blue,blue,blue
c019a025s010,blue,blue,blue,blue
c019a025s015,blue,blue,blue,blue
c019a025s017,blue,blue,blue,blue
c019a027s010,blue,blue,blue,blue
c019a027s015,blue,blue,blue,blue
c019a027s017,blue,blue,blue,blue
c019a028s010,blue,blue,blue,blue
c019a028s015,blue,blue,blue,blue
c019a029s015,blue,blue,blue,blue
c019a029s017,blue,blue,blue,blue
c019a030s017,blue,blue,blue,blue
c020a029s012,purple,purple,purple,blue
c020a029s017,blue,blue,blue,blue
c020a030s012,purple,purple,purple,blue
c020a030s017,blue,blue,blue,blue
c021a026s014,red,red,red,purple
c021a031s012,purple,purple,purple,blue
c021a031s014,purple,purple,purple,blue
c021a032s014,purple,purple,purple,blue
c021a032s016,purple,purple,purple,purple
c021a034s016,purple,red,red,purple
c022a023s008,purple,red,red,red
c022a023s014,red,red,red,purple
c022a026s014,red,red,red,purple
c022a026s016,purple,red,red,red
c022a031s008,purple,purple,purple,purple
c022a031s014,purple,purple,purple,purple
c023a023s008,purple,red,red,red
c023a023s014,red,red,red,purple
c023a023s016,purple,red,red,red
c023a026s008,purple,red,red,red
c023a026s014,red,red,red,purple
c023a026s016,purple,red,red,red
c023a032s014,purple,purple,purple,purple
c023a032s016,purple,purple,purple,purple
c023a034s014,red,red,red,purple
c023a034s016,purple,red,red,red
c023a036s016,purple,red,red,red
c023a036s021,purple,red,red,red
c024a035s017,purple,purple,purple,purple
c024a035s019,purple,purple,purple,purple
c024a037s019,blue,blue,blue,blue
c025a036s021,purple,red,red,purple
c025a036s025,purple,purple,purple,purple
c025a037s027,purple,purple,purple,blue
c025a038s018,red,purple,purple,blue
c025a038s021,red,red,red,purple
c025a038s027,purple,purple,purple,blue
c025a039s021,purple,purple,purple,purple
c025a039s025,purple,purple,purple,blue
c025a045s027,purple,purple,purple,blue
c026a037s019,blue,blue,blue,blue
c026a037s027,blue,blue,blue,blue
c026a038s019,purple,purple,purple,blue
c026a038s027,purple,purple,purple,blue
c026a044s019,purple,blue,blue,blue
c026a044s027,purple,blue,blue,blue
c027a036s021,purple,purple,purple,purple
c027a036s023,purple,purple,purple,purple
c027a036s025,blue,purple,purple,purple
c027a041s022,blue,blue,blue,blue
c027a041s025,blue,blue,blue,blue
c027a043s025,blue,blue,blue,blue
c027a048s025,blue,blue,blue,blue
c027a049s022,blue,blue,blue,blue
c027a049s025,blue,blue,blue,blue
c027a052s020,blue,blue,blue,blue
c028a036s025,blue,purple,purple,purple
c028a038s021,purple,purple,purple,purple
c028a039s021,purple,purple,purple,purple
c028a039s025,blue,blue,blue,blue
c028a041s025,blue,blue,blue,blue
c028a043s018,purple,blue,blue,blue
c028a043s024,blue,blue,blue,blue
c028a043s025,blue,blue,blue,blue
c028a043s026,blue,blue,blue,blue
c028a046s026,blue,blue,blue,blue
c028a050s024,blue,blue,blue,blue
c028a050s026,blue,blue,blue,blue
c028a051s024,blue,blue,blue,blue
c028a053s024,blue,blue,blue,blue
c029a038s018,purple,purple,purple,blue
c029a039s018,purple,blue,blue,blue
c029a039s021,purple,purple,purple,purple
c029a039s025,blue,blue,blue,blue
c029a043s018,purple,blue,blue,blue
c029a046s018,purple,blue,blue,blue
c030a038s018,purple,purple,purple,blue
c030a038s027,purple,purple,purple,blue
c030a039s018,purple,blue,blue,blue
c030a043s018,purple,blue,blue,blue
c030a043s025,blue,blue,blue,blue
c030a043s026,blue,blue,blue,blue
c030a045s018,purple,blue,blue,blue
c030a045s027,blue,blue,blue,blue
c030a046s018,purple,blue,blue,blue
c030a046s026,blue,blue,blue,blue
c030a046s027,blue,blue,blue,blue
c031a040s023,red,purple,purple,purple
c031a041s023,purple,purple,purple,purple
c031a041s025,purple,blue,blue,blue
c031a042s023,red,purple,purple,purple
c031a047s020,purple,blue,blue,blue
c032a041s025,blue,blue,blue,blue
c032a048s022,blue,blue,blue,blue
c032a048s025,blue,blue,blue,blue
c032a049s022,blue,blue,blue,blue
c032a055s029,purple,purple,purple,purple
c032a057s022,blue,blue,blue,blue
c032a057s029,purple,purple,blue,purple
c032a057s032,blue,blue,blue,blue
c033a045s026,blue,blue,blue,blue
c033a045s027,blue,blue,blue,blue
c033a050s026,blue,blue,blue,blue
c033a050s027,blue,blue,blue,blue
c033a054s026,blue,blue,blue,blue
c033a054s030,blue,blue,blue,blue
c033a062s026,blue,blue,blue,blue
c033a066s026,blue,purple,blue,blue
c033a066s035,blue,purple,blue,blue
c033a070s035,blue,blue,blue,blue
c034a051s024,blue,blue,blue,blue
c034a053s024,blue,blue,blue,blue
c034a053s030,blue,blue,blue,blue
c034a059s030,blue,blue,blue,blue
c035a047s020,blue,blue,blue,blue
c035a052s020,blue,blue,blue,blue
c036a042s023,purple,purple,purple,purple
c036a042s028,purple,purple,purple,purple
c036a056s028,blue,purple,purple,purple
c036a067s023,purple,purple,purple,purple
c036a071s028,purple,purple,purple,purple
c037a050s024,blue,blue,blue,blue
c037a050s026,blue,blue,blue,blue
c037a050s030,blue,blue,blue,blue
c037a053s024,blue,blue,blue,blue
c037a053s030,blue,blue,blue,blue
c037a054s026,blue,blue,blue,blue
c037a054s030,blue,blue,blue,blue
c037a059s030,blue,blue,blue,blue
c037a062s026,blue,blue,blue,blue
c037a062s030,blue,blue,blue,blue
c038a049s022,blue,blue,blue,blue
c038a049s032,blue,blue,blue,blue
c038a057s022,blue,blue,blue,blue
c038a057s032,blue,blue,blue,blue
c038a058s032,blue,blue,blue,blue
c038a063s032,blue,blue,blue,blue
c038a063s033,blue,blue,blue,blue
c038a065s029,purple,purple,blue,purple
c039a052s020,purple,purple,purple,blue
c039a055s029,red,red,purple,purple
c039a055s037,red,red,red,purple
c039a057s022,purple,purple,purple,blue
c039a057s032,purple,purple,purple,blue
c039a065s029,purple,red,purple,purple
c039a065s032,purple,purple,purple,blue
c039a068s029,red,red,purple,purple
c039a068s037,red,red,red,purple
c040a051s024,blue,blue,blue,blue
c040a053s033,blue,blue,blue,blue
c040a058s032,blue,blue,blue,blue
c040a058s033,blue,blue,blue,blue
c040a059s030,blue,blue,blue,blue
c040a059s033,blue,blue,blue,blue
c040a063s033,blue,blue,blue,blue
c041a042s023,purple,purple,purple,purple
c041a060s031,purple,purple,blue,blue
c041a061s031,blue,blue,blue,blue
c041a067s028,purple,purple,purple,purple
c042a042s023,red,red,red,red
c042a060s031,purple,purple,purple,purple
c042a061s031,purple,purple,purple,purple
c042a067s023,red,red,red,red
c042a067s028,purple,red,red,red
c042a071s028,purple,red,red,red
c042a075s028,purple,red,red,red
c043a054s030,blue,blue,blue,blue
c043a054s035,blue,blue,blue,blue
c043a059s030,blue,blue,blue,blue
c043a062s026,blue,blue,blue,blue
c043a062s030,blue,blue,blue,blue
c043a062s035,blue,blue,blue,blue
c043a064s030,blue,blue,blue,blue
c043a064s035,blue,blue,blue,blue
c043a066s026,blue,purple,blue,blue
c043a066s035,blue,purple,blue,blue
c044a059s033,blue,blue,blue,blue
c044a063s033,blue,blue,blue,blue
c044a063s035,blue,blue,blue,blue
c044a064s030,blue,blue,blue,blue
c044a064s033,blue,blue,blue,blue
c044a064s035,blue,blue,blue,blue
c044a070s026,blue,blue,blue,blue
c044a070s033,blue,blue,blue,blue
c044a070s035,blue,blue,blue,blue
c045a068s037,red,red,red,purple
c045a069s034,purple,purple,purple,blue
c045a073s036,red,red,red,purple
c045a074s037,red,red,red,purple
c046a065s029,purple,purple,blue,purple
c046a068s029,purple,purple,purple,purple
c046a068s034,purple,purple,purple,purple
c046a068s037,purple,purple,purple,purple
c046a069s029,purple,purple,blue,purple
c046a069s034,blue,purple,purple,blue
c046a072s034,purple,purple,purple,purple
c047a063s032,blue,blue,blue,blue
c047a063s033,blue,blue,blue,blue
c047a063s034,blue,purple,purple,blue
c047a065s029,purple,purple,blue,purple
c047a065s032,blue,purple,blue,blue
c047a065s034,blue,purple,purple,blue
c047a069s034,blue,purple,purple,blue
c047a070s026,blue,blue,blue,blue
c047a070s033,blue,blue,blue,blue
c047a070s034,blue,purple,purple,blue
c047a070s035,blue,blue,blue,blue
c047a072s034,purple,purple,purple,purple
c048a069s034,purple,purple,purple,blue
c048a072s034,purple,red,red,purple
c048a072s037,red,red,red,purple
c048a073s036,red,red,red,purple
c048a074s034,purple,red,red,blue
c048a074s037,red,red,red,purple
c049a073s036,red,red,red,purple
c049a075s036,red,red,red,purple
c049a075s038,red,red,red,purple
c049a076s036,red,red,red,purple
c049a076s038,red,red,red,purple
c049a076s039,purple,purple,purple,blue
c049a077s036,red,red,red,purple
c049a077s038,red,red,red,purple
c049a077s039,purple,purple,purple,purple
c049a078s039,purple,purple,purple,blue
c050a071s038,red,red,red,red
c050a071s040,purple,purple,purple,purple
c050a075s028,purple,red,red,red
c050a075s036,red,red,red,red
c050a075s038,red,red,red,red
c050a077s038,red,red,red,red
c050a079s040,purple,purple,purple,purple
c051a056s040,blue,blue,blue,blue
c051a071s038,purple,purple,purple,purple
c051a071s040,purple,purple,purple,purple
c051a078s039,blue,blue,blue,blue
c051a078s040,blue,blue,blue,blue
c051a079s039,blue,blue,blue,blue
c051a079s040,blue,blue,blue,blue
c051a080s039,blue,blue,blue,blue
c051a080s040,blue,blue,blue,blue
c052a077s038,purple,purple,purple,purple
c052a077s039,purple,purple,purple,purple
c052a078s039,blue,blue,blue,blue
c052a079s039,blue,blue,blue,blue
c052a080s039,blue,blue,blue,blue
c052a080s040,blue,blue,blue,blue
c053a071s038,purple,purple,purple,purple
c053a071s040,purple,purple,purple,purple
c053a077s039,purple,purple,purple,purple
c053a078s039,blue,blue,blue,blue
c053a078s040,blue,blue,blue,blue
c053a079s038,purple,purple,purple,purple
c053a079s039,blue,blue,blue,blue
c053a079s040,blue,blue,blue,blue
c053a080s039,blue,blue,blue,blue
c053a080s040,blue,blue,blue,blue
